UID,iso2,iso3,code3,FIPS,Admin2,Province_State,Country_Region,Lat,Long_,Combined_Key,1/22/20,R0EG
84053061,US,USA,840,53061,Snohomish,Washington,US,48.04615983,-121.7170703,"Snohomish, Washington, US",0,1.1387092810910444
84013089,US,USA,840,13089,DeKalb,Georgia,US,33.76944049,-84.22396017,"DeKalb, Georgia, US",0,1.2261518306089656
84018089,US,USA,840,18089,Lake,Indiana,US,41.41874274,-87.38277575,"Lake, Indiana, US",0,1.2664778003198893
84024003,US,USA,840,24003,Anne Arundel,Maryland,US,39.00670238,-76.60329337,"Anne Arundel, Maryland, US",0,1.2603413463672373
84013135,US,USA,840,13135,Gwinnett,Georgia,US,33.96044201,-84.02137802,"Gwinnett, Georgia, US",0,1.2449051890506582
84042095,US,USA,840,42095,Northampton,Pennsylvania,US,40.75182733,-75.30471829,"Northampton, Pennsylvania, US",0,1.2267252061838239
84042079,US,USA,840,42079,Luzerne,Pennsylvania,US,41.17823008,-75.98447579,"Luzerne, Pennsylvania, US",0,1.2127875265826813
84039101,US,USA,840,39101,Marion,Ohio,US,40.58610662,-83.15736305,"Marion, Ohio, US",0,1.3232366353939116
84022033,US,USA,840,22033,East Baton Rouge,Louisiana,US,30.53842039,-91.09777565,"East Baton Rouge, Louisiana, US",0,1.216386853056621
84010003,US,USA,840,10003,New Castle,Delaware,US,39.57992638,-75.64054974,"New Castle, Delaware, US",0,1.2488258668534244
84019153,US,USA,840,19153,Polk,Iowa,US,41.68679484,-93.57767461,"Polk, Iowa, US",0,1.3819004612188297
84006085,US,USA,840,6085,Santa Clara,California,US,37.23104908,-121.6970462,"Santa Clara, California, US",0,1.1530453464945103
84026081,US,USA,840,26081,Kent,Michigan,US,43.03197711,-85.54934642,"Kent, Michigan, US",0,1.333135838482946
84008001,US,USA,840,8001,Adams,Colorado,US,39.87432092,-104.3362578,"Adams, Colorado, US",0,1.264817779416578
630,PR,PRI,630,72,NA,Puerto Rico,US,18.2208,-66.5901,"Puerto Rico, US",0,1.2267821337728526
84042071,US,USA,840,42071,Lancaster,Pennsylvania,US,40.03904563,-76.24770128,"Lancaster, Pennsylvania, US",0,1.2551576414941137
84013067,US,USA,840,13067,Cobb,Georgia,US,33.94243204,-84.5761255,"Cobb, Georgia, US",0,1.2258998743845941
84048453,US,USA,840,48453,Travis,Texas,US,30.33432034,-97.7853562,"Travis, Texas, US",0,1.2290739658795875
84008123,US,USA,840,8123,Weld,Colorado,US,40.55499405,-104.3929621,"Weld, Colorado, US",0,1.2388209466977274
84037119,US,USA,840,37119,Mecklenburg,North Carolina,US,35.24469268,-80.8317671,"Mecklenburg, North Carolina, US",0,1.1963480731768357
84006001,US,USA,840,6001,Alameda,California,US,37.64629437,-121.8929271,"Alameda, California, US",0,1.2060920392439016
84013139,US,USA,840,13139,Hall,Georgia,US,34.32207823,-83.81896936,"Hall, Georgia, US",0,1.330649516134981
84006075,US,USA,840,6075,San Francisco,California,US,37.75215114,-122.4385672,"San Francisco, California, US",0,1.188493014254749
84039129,US,USA,840,39129,Pickaway,Ohio,US,39.64170392,-83.0243386,"Pickaway, Ohio, US",0,1.354501040726044
84055009,US,USA,840,55009,Brown,Wisconsin,US,44.4526553,-88.00411844,"Brown, Wisconsin, US",0,1.4554593689069388
84048029,US,USA,840,48029,Bexar,Texas,US,29.44928723,-98.52019748,"Bexar, Texas, US",0,1.230868486128075
84042029,US,USA,840,42029,Chester,Pennsylvania,US,39.97291773,-75.74768357,"Chester, Pennsylvania, US",0,1.2501820867308453
84053077,US,USA,840,53077,Yakima,Washington,US,46.45738486,-120.7380126,"Yakima, Washington, US",0,1.2443274010387162
84036055,US,USA,840,36055,Monroe,New York,US,43.14638895,-77.69322942,"Monroe, New York, US",0,1.201835146775955
84039061,US,USA,840,39061,Hamilton,Ohio,US,39.19673558,-84.54502924,"Hamilton, Ohio, US",0,1.2466880603111843
84039095,US,USA,840,39095,Lucas,Ohio,US,41.62101218,-83.65468618,"Lucas, Ohio, US",0,1.2506190904767027
84022017,US,USA,840,22017,Caddo,Louisiana,US,32.57991587,-93.88375652,"Caddo, Louisiana, US",0,1.2006194936412382
84026049,US,USA,840,26049,Genesee,Michigan,US,43.02244215,-83.70589709,"Genesee, Michigan, US",0,1.2134872012195168
84021111,US,USA,840,21111,Jefferson,Kentucky,US,38.18664655,-85.65931031,"Jefferson, Kentucky, US",0,1.2448802317877257
84034015,US,USA,840,34015,Gloucester,New Jersey,US,39.71581067,-75.13995546,"Gloucester, New Jersey, US",0,1.2537246127114214
84019193,US,USA,840,19193,Woodbury,Iowa,US,42.38979414,-96.0459439,"Woodbury, Iowa, US",0,1.5699286571152182
84008059,US,USA,840,8059,Jefferson,Colorado,US,39.58635604,-105.2517692,"Jefferson, Colorado, US",0,1.207705149673282
84031055,US,USA,840,31055,Douglas,Nebraska,US,41.29518299,-96.15085305,"Douglas, Nebraska, US",0,1.300865753645743
84013095,US,USA,840,13095,Dougherty,Georgia,US,31.53328528,-84.21722377,"Dougherty, Georgia, US",0,1.1793060997536466
84004019,US,USA,840,4019,Pima,Arizona,US,32.0971334,-111.7890033,"Pima, Arizona, US",0,1.2197396769424311
84035031,US,USA,840,35031,McKinley,New Mexico,US,35.58007720000001,-108.262245,"McKinley, New Mexico, US",0,1.380597873741586
84053053,US,USA,840,53053,Pierce,Washington,US,47.03892768,-122.1405958,"Pierce, Washington, US",0,1.1758332014203854
84034001,US,USA,840,34001,Atlantic,New Jersey,US,39.47538693,-74.65848483,"Atlantic, New Jersey, US",0,1.3165089315686285
84029510,US,USA,840,29510,St. Louis City,Missouri,US,38.63555736,-90.24349225,"St. Louis City, Missouri, US",0,1.2289835866957914
84018017,US,USA,840,18017,Cass,Indiana,US,40.76135835,-86.34830753,"Cass, Indiana, US",0,1.500522545635012
84012095,US,USA,840,12095,Orange,Florida,US,28.51367621,-81.31799498,"Orange, Florida, US",0,1.1956705215696823
84019013,US,USA,840,19013,Black Hawk,Iowa,US,42.4704581,-92.30524729,"Black Hawk, Iowa, US",0,1.4263073062403593
84042003,US,USA,840,42003,Allegheny,Pennsylvania,US,40.46809875,-79.98167747,"Allegheny, Pennsylvania, US",0,1.1852507837605164
84033011,US,USA,840,33011,Hillsborough,New Hampshire,US,42.91537785,-71.7200253,"Hillsborough, New Hampshire, US",0,1.261795953943531
84001097,US,USA,840,1097,Mobile,Alabama,US,30.78472347,-88.20842409,"Mobile, Alabama, US",0,1.2757868607892169
84006081,US,USA,840,6081,San Mateo,California,US,37.4228808,-122.32755459999998,"San Mateo, California, US",0,1.1753476167796113
84022103,US,USA,840,22103,St. Tammany,Louisiana,US,30.40942847,-89.95642711,"St. Tammany, Louisiana, US",0,1.1957540222106475
84036001,US,USA,840,36001,Albany,New York,US,42.60060306,-73.97723916,"Albany, New York, US",0,1.2109564276546458
84036111,US,USA,840,36111,Ulster,New York,US,41.89027881,-74.26252104,"Ulster, New York, US",0,1.2147423055790862
84012057,US,USA,840,12057,Hillsborough,Florida,US,27.9276559,-82.32013172,"Hillsborough, Florida, US",0,1.1857456420783006
84027145,US,USA,840,27145,Stearns,Minnesota,US,45.55192576,-94.61078221,"Stearns, Minnesota, US",0,1.7889148835861777
84051013,US,USA,840,51013,Arlington,Virginia,US,38.8767675,-77.10139853,"Arlington, Virginia, US",0,1.2537490127587276
84048157,US,USA,840,48157,Fort Bend,Texas,US,29.52704478,-95.77219463,"Fort Bend, Texas, US",0,1.2259001891104557
84031043,US,USA,840,31043,Dakota,Nebraska,US,42.39040144,-96.56656425,"Dakota, Nebraska, US",0,1.5664576141040787
84034011,US,USA,840,34011,Cumberland,New Jersey,US,39.37199394,-75.10712559,"Cumberland, New Jersey, US",0,1.3493873993941052
84047169,US,USA,840,47169,Trousdale,Tennessee,US,36.390262130000004,-86.16087954,"Trousdale, Tennessee, US",0,1.7084353558025813
84006083,US,USA,840,6083,Santa Barbara,California,US,34.65329488,-120.0188492,"Santa Barbara, California, US",0,1.2541650390099666
84049049,US,USA,840,49049,Utah,Utah,US,40.116672199999996,-111.6657662,"Utah, Utah, US",0,1.2809445193669755
84048141,US,USA,840,48141,El Paso,Texas,US,31.76980765,-106.2363275,"El Paso, Texas, US",0,1.2899156366592002
84031079,US,USA,840,31079,Hall,Nebraska,US,40.87257079,-98.50218293,"Hall, Nebraska, US",0,1.358203785279319
84036067,US,USA,840,36067,Onondaga,New York,US,43.00491923,-76.19971155,"Onondaga, New York, US",0,1.203473310264667
84006029,US,USA,840,6029,Kern,California,US,35.34329425,-118.7277796,"Kern, California, US",0,1.2434479468841684
84012071,US,USA,840,12071,Lee,Florida,US,26.58410348,-81.88399313,"Lee, Florida, US",0,1.2055816387010516
84027105,US,USA,840,27105,Nobles,Minnesota,US,43.67434621,-95.75329576,"Nobles, Minnesota, US",0,1.5577456142510195
84024021,US,USA,840,24021,Frederick,Maryland,US,39.47296601,-77.39999394,"Frederick, Maryland, US",0,1.2784813215465884
84042089,US,USA,840,42089,Monroe,Pennsylvania,US,41.05934058,-75.34031025,"Monroe, Pennsylvania, US",0,1.1895262727895017
84051510,US,USA,840,51510,Alexandria,Virginia,US,38.814003,-77.08183073,"Alexandria, Virginia, US",0,1.3070202374441704
84024027,US,USA,840,24027,Howard,Maryland,US,39.25305293,-76.93126208,"Howard, Maryland, US",0,1.2409429880079137
84051107,US,USA,840,51107,Loudoun,Virginia,US,39.08990083,-77.63481877,"Loudoun, Virginia, US",0,1.2581989528726567
84026161,US,USA,840,26161,Washtenaw,Michigan,US,42.253105,-83.83853204,"Washtenaw, Michigan, US",0,1.182877550680116
84042069,US,USA,840,42069,Lackawanna,Pennsylvania,US,41.43564672,-75.60379201,"Lackawanna, Pennsylvania, US",0,1.2423351008858543
84006067,US,USA,840,6067,Sacramento,California,US,38.45106826,-121.3425374,"Sacramento, California, US",0,1.1844839886419216
84012031,US,USA,840,12031,Duval,Florida,US,30.33225875,-81.66976468,"Duval, Florida, US",0,1.1951539646049905
